Pair,Coint P-Value,ADF P-Value,Beta
HINDUNILVR-WIPRO,0.003909302701066269,0.0468395688925717,5.345265224372826
SBILIFE-ICICIBANK,0.019795432003685432,0.033340925141625656,1.3903825127483573
KOTAKBANK-ASIANPAINT,0.003005005604171706,0.003768728177512635,0.5842989510537391
KOTAKBANK-TECHM,0.017374115197194367,0.03551511571455343,1.4817812743198955
KOTAKBANK-WIPRO,0.01918383439770259,0.0036628670336160195,3.9487959442259304
ASIANPAINT-BAJFINANCE,0.027637381676974104,0.009946445878037257,0.447872019338747
MARUTI-DRREDDY,0.03429554464515351,0.007839784420316534,1.9103220248868764
BPCL-ONGC,0.005128478362882188,0.0010789945365248213,1.0885246950143492
SHREECEM-JSWSTEEL,0.019450011715307622,0.03329300361572561,32.95031450370621
ADANIPORTS-HEROMOTOCO,0.0061871452085777885,0.007090655269682135,0.28216003765921305
JSWSTEEL-AXISBANK,0.0004455181229707018,0.010314699355904287,0.8046847396075635
EICHERMOT-ICICIBANK,0.02679315480868685,0.028543995699791717,3.7598142740687286
AXISBANK-ULTRACEMCO,0.0023695293137959467,0.0013824876635997524,0.11535250981400505
AXISBANK-NESTLEIND,0.04671170787840118,0.044688522604708195,0.42888590524437487
TECHM-TITAN,0.007011394048853129,0.008126495613708528,0.4086677837539823
TECHM-TATASTEEL,0.0012236321354880272,0.03829575246584472,9.901960803007508
TECHM-NESTLEIND,0.02095042595637384,0.015208161304399581,0.555193867656512
ONGC-TATAMOTORS,0.016260216175623853,0.038469787938012444,0.29238023861402435
TITAN-NESTLEIND,0.0042445592024266164,0.012544599555934082,1.3537190545057027
BHARTIARTL-POWERGRID,0.0033506861116290748,0.008088591860381515,4.50457907073542
TATAMOTORS-BAJAJ-AUTO,0.02801880464854129,0.026842319357767278,0.11442319890794103
POWERGRID-HEROMOTOCO,0.0033708580795453755,0.0022870650857511887,0.062357056883040156
WIPRO-NESTLEIND,0.00945264748069242,0.008721486044008511,0.20607312534945565
WIPRO-LT,0.0067858903263611475,0.04789934471605775,0.1673509524548892
GAIL-BAJAJ-AUTO,0.0009278529051994005,0.0009076708457680039,0.022720292199880074
NTPC-COALINDIA,0.045040458752843335,0.02629638297389868,0.8016331730762173
